area_name,region_abbr_long,region_abbr,gridX,gridY,region_name
Hartlepool,Hrtlpool,Hrtl,11,3,North East
Middlesbrough,Mdlsbrgh,Mdls,11,4,North East
Redcar and Cleveland,Redcar & Clevelnd,Rd&C,12,4,North East
Stockton-on-Tees,Stockton,Stckt,10,3,North East
Darlington,Drlingtn,Drln,9,3,North East
Halton,Halton,Hltn,8,9,North West
Warrington,Wrringtn,Wrrn,8,8,North West
Blackburn with Darwen,Blackbrn Darwen,BlcD,8,5,North West
Blackpool,Blckpool,Bckp,7,4,North West
"Kingston upon Hull, City of",Hull,Hull,13,6,Yorkshire and The Humber
East Riding of Yorkshire,East Riding,EstR,13,5,Yorkshire and The Humber
North East Lincolnshire,Lincs NE,NELn,14,7,Yorkshire and The Humber
North Lincolnshire,Lincs N,NLnc,13,7,Yorkshire and The Humber
York,York,York,12,5,Yorkshire and The Humber
Derby,Derby,Derby,11,10,East Midlands
Leicester,Leicester,Lcst,12,10,East Midlands
Rutland,Rutland,Rtln,14,9,East Midlands
Nottingham,Notts Cty,NttC,12,9,East Midlands
"Herefordshire, County of",Herfrdsh,Hrfr,5,15,West Midlands
Telford and Wrekin,Telford & Wrekin,Tl&W,7,11,West Midlands
Stoke-on-Trent,Stoke,Stoke,9,10,West Midlands
Bath and North East Somerset,Bath & Smrset NE,B&NS,5,17,South West
"Bristol, City of",Bristol,Brst,4,16,South West
North Somerset,Somerset N,NSmr,4,17,South West
South Gloucestershire,South Glouc,SthG,5,16,South West
Plymouth,Plymouth,Plym,3,19,South West
Torbay,Torbay,Trby,3,18,South West
Swindon,Swindon,Swnd,7,15,South West
Peterborough,Petrbrgh,Ptrb,15,9,East of England
Luton,Luton,Lutn,12,11,East of England
Southend-on-Sea,Southend,Sthn,17,11,East of England
Thurrock,Thurrock,Thrr,17,12,East of England
Medway,Medway,Mdwy,16,15,South East
Bracknell Forest,Bracknell Forest,BrcF,9,16,South East
West Berkshire,Berkshire W,WBrk,7,16,South East
Reading,Reading,Rdng,8,15,South East
Slough,Slough,Slgh,9,14,South East
Windsor and Maidenhead,Windsor & Mdhd,Wn&M,9,15,South East
Wokingham,Wkinghm,Wkng,8,16,South East
Milton Keynes,Milton Keynes,MltK,10,12,South East
Brighton and Hove,Brighton & Hove,Br&H,12,17,South East
Portsmouth,Prtsmth,Prts,9,17,South East
Southampton,Sthamptn,Sthm,7,17,South East
Isle of Wight,Isle Wight,IslW,6,18,South East
County Durham,Durham,Drhm,8,3,North East
Cheshire East,Chshire E,EChs,9,9,North West
Cheshire West and Chester,Chshire W,WChs,8,10,North West
Shropshire,Shrpshre,Shrp,6,14,West Midlands
Cornwall,Cornwall,Crnw,2,18,South West
Wiltshire,Wltshire,Wlts,6,16,South West
Bedford,Bedford,Bdfr,13,10,East of England
Central Bedfordshire,Bedfords C,BdfC,14,10,East of England
Northumberland,Nrthmb,Nrth,9,1,North East
"Bournemouth, Christchurch and Poole",Bournmth,Brnm,6,17,South West
Dorset,Dorset,Drst,5,18,South West
Bolton,Bolton,Bltn,8,6,North West
Bury,Bury,Bury,9,6,North West
Manchester,Mancs,Mncs,10,8,North West
Oldham,Oldham,Oldh,10,6,North West
Rochdale,Rochdale,Rchd,9,5,North West
Salford,Salford,Slfr,9,7,North West
Stockport,Stockprt,Stckp,10,9,North West
Tameside,Tameside,Tmsd,10,7,North West
Trafford,Trafford,Trff,9,8,North West
Wigan,Wigan,Wign,8,7,North West
Knowsley,Knowsley,Knws,7,7,North West
Liverpool,Livrpool,Lvrp,7,8,North West
St. Helens,St. Helens,St.H,7,6,North West
Sefton,Sefton,Sftn,7,5,North West
Wirral,Wirral,Wrrl,7,10,North West
Barnsley,Barnsley,Brns,11,7,Yorkshire and The Humber
Doncaster,Doncster,Dncs,12,7,Yorkshire and The Humber
Rotherham,Rotherhm,Rthr,12,8,Yorkshire and The Humber
Sheffield,Sheffild,Shff,11,8,Yorkshire and The Humber
Newcastle upon Tyne,Newcstle,Nwcs,9,2,North East
North Tyneside,Tyneside N,NTyn,10,1,North East
South Tyneside,Tyneside S,STyn,11,2,North East
Sunderland,Sundrlnd,Sndr,10,2,North East
Birmingham,Birmgham,Brmg,8,13,West Midlands
Coventry,Coventry,Cvnt,10,11,West Midlands
Dudley,Dudley,Ddly,7,12,West Midlands
Sandwell,Sandwell,Sndw,8,12,West Midlands
Solihull,Solihull,Slhl,9,12,West Midlands
Walsall,Walsall,Wlsl,9,11,West Midlands
Wolverhampton,Wlvrhptn,Wlvr,8,11,West Midlands
Bradford,Bradford,Brdf,9,4,Yorkshire and The Humber
Calderdale,Caldrdle,Cldr,10,5,Yorkshire and The Humber
Kirklees,Kirklees,Krkl,11,6,Yorkshire and The Humber
Leeds,Leeds,Leds,11,5,Yorkshire and The Humber
Wakefield,Wakefld,Wkfl,12,6,Yorkshire and The Humber
Gateshead,Gateshd,Gtsh,8,2,North East
City of London,Lndn (Cty),CtyL,14,13,London
Barking and Dagenham,Barking,Brkn,16,13,London
Barnet,Barnet,Barnt,12,12,London
Bexley,Bexley,Bxly,16,14,London
Brent,Brent,Brent,11,13,London
Bromley,Bromley,Brml,15,15,London
Camden,Camden,Cmdn,12,13,London
Croydon,Croydon,Cryd,14,16,London
Ealing,Ealing,Elng,11,14,London
Enfield,Enfield,Enfl,14,11,London
Greenwich,Grnwich,Grnw,15,14,London
Hackney,Hackney,Hckn,14,12,London
Hammersmith and Fulham,Hsmith & Fulham,Hs&F,11,15,London
Haringey,Haringey,Hrng,13,12,London
Harrow,Harrow,Hrrw,11,12,London
Havering,Havering,Hvrn,16,12,London
Hillingdon,Hillgdn,Hllg,10,14,London
Hounslow,Hounslw,Hnsl,10,15,London
Islington,Islingtn,Isln,13,13,London
Kensington and Chelsea,Ksgton & Chelsea,Ks&C,12,14,London
Kingston upon Thames,Kingstn,Kngs,11,16,London
Lambeth,Lambeth,Lmbt,13,15,London
Lewisham,Lewisham,Lwsh,14,15,London
Merton,Merton,Mrtn,12,16,London
Newham,Newham,Nwhm,15,12,London
Redbridge,Redbrdge,Rdbr,16,11,London
Richmond upon Thames,Richmnd,Rchm,10,16,London
Southwark,Southwrk,Sthw,14,14,London
Sutton,Sutton,Sttn,13,16,London
Tower Hamlets,Tower Hamlets,TwrH,15,13,London
Waltham Forest,Waltham Forest,WltF,15,11,London
Wandsworth,Wndswrth,Wnds,12,15,London
Westminster,Wstnster,Wstn,13,14,London
Buckinghamshire,Bucks,Bcks,10,13,South East
Cambridgeshire,Cambs,Cmbs,15,10,East of England
Cumbria,Cumbria,Cmbr,7,3,North West
Derbyshire,Derbys,Drbys,11,9,East Midlands
Devon,Devon,Devn,3,17,South West
East Sussex,Sussex E,ESss,15,16,South East
Essex,Essex,Essx,16,10,East of England
Gloucestershire,Gloucs,Glcs,6,15,South West
Hampshire,Hamps,Hmps,8,17,South East
Hertfordshire,Hrtfords,Hrtf,13,11,East of England
Kent,Kent,Kent,16,16,South East
Lancashire,Lancs,Lancs,8,4,North West
Leicestershire,Leics,Lecs,13,9,East Midlands
Lincolnshire,Lincs,Lincs,14,8,East Midlands
Norfolk,Norfolk,Nrfl,16,9,East of England
Northamptonshire,Nthmpts,Nthm,11,11,East Midlands
North Yorkshire,Yorks N,NYrk,10,4,Yorkshire and The Humber
Nottinghamshire,Notts,Ntts,13,8,East Midlands
Oxfordshire,Oxfords,Oxfr,8,14,South East
Somerset,Somerset,Smrs,4,18,South West
Staffordshire,Staffs,Stff,10,10,West Midlands
Suffolk,Suffolk,Sffl,17,10,East of England
Surrey,Surrey,Srry,11,17,South East
Warwickshire,Warwcks,Wrwc,9,13,West Midlands
West Sussex,Sussex W,WSss,10,17,South East
Worcestershire,Worcrsh,Wrcr,7,14,West Midlands
